-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOTCORR
21.0,88.125,2019,1,0.0
21.0,88.75,2019,1,0.0
21.0,89.375,2019,1,0.0
21.0,90.0,2019,1,0.0
21.0,90.625,2019,1,0.0
21.0,91.25,2019,1,0.0
21.0,91.875,2019,1,0.0
21.0,92.5,2019,1,0.0
21.5,88.125,2019,1,0.0
21.5,88.75,2019,1,0.0
21.5,89.375,2019,1,0.0
21.5,90.0,2019,1,0.0
21.5,90.625,2019,1,0.0
21.5,91.25,2019,1,0.0
21.5,91.875,2019,1,0.0
21.5,92.5,2019,1,0.0
22.0,88.125,2019,1,0.0
22.0,88.75,2019,1,0.0
22.0,89.375,2019,1,0.0
22.0,90.0,2019,1,0.0
22.0,90.625,2019,1,0.0
22.0,91.25,2019,1,0.0
22.0,91.875,2019,1,0.0
22.0,92.5,2019,1,0.0
22.5,88.125,2019,1,0.0
22.5,88.75,2019,1,0.0
22.5,89.375,2019,1,0.0
22.5,90.0,2019,1,0.0
22.5,90.625,2019,1,0.0
22.5,91.25,2019,1,0.0
22.5,91.875,2019,1,0.0
22.5,92.5,2019,1,0.0
23.0,88.125,2019,1,0.0
23.0,88.75,2019,1,0.0
23.0,89.375,2019,1,0.0
23.0,90.0,2019,1,0.0
23.0,90.625,2019,1,0.0
23.0,91.25,2019,1,0.0
23.0,91.875,2019,1,0.0
23.0,92.5,2019,1,0.0
23.5,88.125,2019,1,0.0
23.5,88.75,2019,1,0.0
23.5,89.375,2019,1,0.0
23.5,90.0,2019,1,0.0
23.5,90.625,2019,1,0.0
23.5,91.25,2019,1,0.0
23.5,91.875,2019,1,0.0
23.5,92.5,2019,1,0.0
24.0,88.125,2019,1,0.0
24.0,88.75,2019,1,0.0
24.0,89.375,2019,1,0.0
24.0,90.0,2019,1,0.0
24.0,90.625,2019,1,0.0
24.0,91.25,2019,1,0.0
24.0,91.875,2019,1,0.0
24.0,92.5,2019,1,0.0
24.5,88.125,2019,1,0.0
24.5,88.75,2019,1,0.0
24.5,89.375,2019,1,0.0
24.5,90.0,2019,1,0.0
24.5,90.625,2019,1,0.0
24.5,91.25,2019,1,0.0
24.5,91.875,2019,1,0.0
24.5,92.5,2019,1,0.0
25.0,88.125,2019,1,0.0
25.0,88.75,2019,1,0.0
25.0,89.375,2019,1,0.0
25.0,90.0,2019,1,0.0
25.0,90.625,2019,1,0.0
25.0,91.25,2019,1,0.0
25.0,91.875,2019,1,0.0
25.0,92.5,2019,1,0.0
25.5,88.125,2019,1,0.0
25.5,88.75,2019,1,0.0
25.5,89.375,2019,1,0.0
25.5,90.0,2019,1,0.0
25.5,90.625,2019,1,0.0
25.5,91.25,2019,1,0.0
25.5,91.875,2019,1,0.0
25.5,92.5,2019,1,0.0
26.0,88.125,2019,1,0.0
26.0,88.75,2019,1,0.0
26.0,89.375,2019,1,0.0
26.0,90.0,2019,1,0.0
26.0,90.625,2019,1,0.0
26.0,91.25,2019,1,0.0
26.0,91.875,2019,1,0.0
26.0,92.5,2019,1,0.0
26.5,88.125,2019,1,0.0
26.5,88.75,2019,1,0.0
26.5,89.375,2019,1,0.0
26.5,90.0,2019,1,0.0
26.5,90.625,2019,1,0.0
26.5,91.25,2019,1,0.0
26.5,91.875,2019,1,0.0
26.5,92.5,2019,1,0.0
21.0,88.125,2019,2,0.0
21.0,88.75,2019,2,0.0
21.0,89.375,2019,2,0.0
21.0,90.0,2019,2,0.0
21.0,90.625,2019,2,0.0
21.0,91.25,2019,2,0.0
21.0,91.875,2019,2,0.0
21.0,92.5,2019,2,0.0
21.5,88.125,2019,2,0.0
21.5,88.75,2019,2,0.0
21.5,89.375,2019,2,0.0
21.5,90.0,2019,2,0.0
21.5,90.625,2019,2,0.0
21.5,91.25,2019,2,0.0
21.5,91.875,2019,2,0.0
21.5,92.5,2019,2,0.0
22.0,88.125,2019,2,0.0
22.0,88.75,2019,2,0.0
22.0,89.375,2019,2,0.0
22.0,90.0,2019,2,0.0
22.0,90.625,2019,2,0.0
22.0,91.25,2019,2,0.0
22.0,91.875,2019,2,0.0
22.0,92.5,2019,2,0.0
22.5,88.125,2019,2,0.0
22.5,88.75,2019,2,0.0
22.5,89.375,2019,2,0.0
22.5,90.0,2019,2,0.0
22.5,90.625,2019,2,0.0
22.5,91.25,2019,2,0.0
22.5,91.875,2019,2,0.0
22.5,92.5,2019,2,0.0
23.0,88.125,2019,2,0.0
23.0,88.75,2019,2,0.0
23.0,89.375,2019,2,0.0
23.0,90.0,2019,2,0.0
23.0,90.625,2019,2,0.0
23.0,91.25,2019,2,0.0
23.0,91.875,2019,2,0.0
23.0,92.5,2019,2,0.0
23.5,88.125,2019,2,0.0
23.5,88.75,2019,2,0.0
23.5,89.375,2019,2,0.0
23.5,90.0,2019,2,0.0
23.5,90.625,2019,2,0.0
23.5,91.25,2019,2,0.0
23.5,91.875,2019,2,0.0
23.5,92.5,2019,2,0.0
24.0,88.125,2019,2,0.0
24.0,88.75,2019,2,0.0
24.0,89.375,2019,2,0.0
24.0,90.0,2019,2,0.0
24.0,90.625,2019,2,0.0
24.0,91.25,2019,2,0.0
24.0,91.875,2019,2,0.0
24.0,92.5,2019,2,0.0
24.5,88.125,2019,2,0.0
24.5,88.75,2019,2,0.0
24.5,89.375,2019,2,0.0
24.5,90.0,2019,2,0.0
24.5,90.625,2019,2,0.0
24.5,91.25,2019,2,0.0
24.5,91.875,2019,2,0.0
24.5,92.5,2019,2,0.0
25.0,88.125,2019,2,0.0
25.0,88.75,2019,2,0.0
25.0,89.375,2019,2,0.0
25.0,90.0,2019,2,0.0
25.0,90.625,2019,2,0.0
25.0,91.25,2019,2,0.0
25.0,91.875,2019,2,0.0
25.0,92.5,2019,2,0.0
25.5,88.125,2019,2,0.0
25.5,88.75,2019,2,0.0
25.5,89.375,2019,2,0.0
25.5,90.0,2019,2,0.0
25.5,90.625,2019,2,0.0
25.5,91.25,2019,2,0.0
25.5,91.875,2019,2,0.0
25.5,92.5,2019,2,0.0
26.0,88.125,2019,2,0.0
26.0,88.75,2019,2,0.0
26.0,89.375,2019,2,0.0
26.0,90.0,2019,2,0.0
26.0,90.625,2019,2,0.0
26.0,91.25,2019,2,0.0
26.0,91.875,2019,2,0.0
26.0,92.5,2019,2,0.0
26.5,88.125,2019,2,0.0
26.5,88.75,2019,2,0.0
26.5,89.375,2019,2,0.0
26.5,90.0,2019,2,0.0
26.5,90.625,2019,2,0.0
26.5,91.25,2019,2,0.0
26.5,91.875,2019,2,0.0
26.5,92.5,2019,2,0.0
21.0,88.125,2019,3,0.0
21.0,88.75,2019,3,0.0
21.0,89.375,2019,3,0.0
21.0,90.0,2019,3,0.0
21.0,90.625,2019,3,0.0
21.0,91.25,2019,3,0.0
21.0,91.875,2019,3,0.0
21.0,92.5,2019,3,0.0
21.5,88.125,2019,3,0.0
21.5,88.75,2019,3,0.0
21.5,89.375,2019,3,0.0
21.5,90.0,2019,3,0.0
21.5,90.625,2019,3,0.0
21.5,91.25,2019,3,0.0
21.5,91.875,2019,3,0.0
21.5,92.5,2019,3,0.0
22.0,88.125,2019,3,0.0
22.0,88.75,2019,3,0.0
22.0,89.375,2019,3,0.0
22.0,90.0,2019,3,0.0
22.0,90.625,2019,3,0.0
22.0,91.25,2019,3,0.0
22.0,91.875,2019,3,0.0
22.0,92.5,2019,3,0.0
22.5,88.125,2019,3,0.0
22.5,88.75,2019,3,0.0
22.5,89.375,2019,3,0.0
22.5,90.0,2019,3,0.0
22.5,90.625,2019,3,0.0
22.5,91.25,2019,3,0.0
22.5,91.875,2019,3,0.0
22.5,92.5,2019,3,0.0
23.0,88.125,2019,3,0.0
23.0,88.75,2019,3,0.0
23.0,89.375,2019,3,0.0
23.0,90.0,2019,3,0.0
23.0,90.625,2019,3,0.0
23.0,91.25,2019,3,0.0
23.0,91.875,2019,3,0.0
23.0,92.5,2019,3,0.0
23.5,88.125,2019,3,0.0
23.5,88.75,2019,3,0.0
23.5,89.375,2019,3,0.0
23.5,90.0,2019,3,0.0
23.5,90.625,2019,3,0.0
23.5,91.25,2019,3,0.0
23.5,91.875,2019,3,0.0
23.5,92.5,2019,3,0.0
24.0,88.125,2019,3,0.0
24.0,88.75,2019,3,0.0
24.0,89.375,2019,3,0.0
24.0,90.0,2019,3,0.0
24.0,90.625,2019,3,0.0
24.0,91.25,2019,3,0.0
24.0,91.875,2019,3,0.0
24.0,92.5,2019,3,0.0
24.5,88.125,2019,3,0.0
24.5,88.75,2019,3,0.0
24.5,89.375,2019,3,0.0
24.5,90.0,2019,3,0.0
24.5,90.625,2019,3,0.0
24.5,91.25,2019,3,0.0
24.5,91.875,2019,3,0.0
24.5,92.5,2019,3,0.0
25.0,88.125,2019,3,0.0
25.0,88.75,2019,3,0.0
25.0,89.375,2019,3,0.0
25.0,90.0,2019,3,0.0
25.0,90.625,2019,3,0.0
25.0,91.25,2019,3,0.0
25.0,91.875,2019,3,0.0
25.0,92.5,2019,3,0.0
25.5,88.125,2019,3,0.0
25.5,88.75,2019,3,0.0
25.5,89.375,2019,3,0.0
25.5,90.0,2019,3,0.0
25.5,90.625,2019,3,0.0
25.5,91.25,2019,3,0.0
25.5,91.875,2019,3,0.0
25.5,92.5,2019,3,0.0
26.0,88.125,2019,3,0.0
26.0,88.75,2019,3,0.0
26.0,89.375,2019,3,0.0
26.0,90.0,2019,3,0.0
26.0,90.625,2019,3,0.0
26.0,91.25,2019,3,0.0
26.0,91.875,2019,3,0.0
26.0,92.5,2019,3,0.02
26.5,88.125,2019,3,0.0
26.5,88.75,2019,3,0.02
26.5,89.375,2019,3,0.02
26.5,90.0,2019,3,0.01
26.5,90.625,2019,3,0.0
26.5,91.25,2019,3,0.0
26.5,91.875,2019,3,0.0
26.5,92.5,2019,3,0.07
21.0,88.125,2019,4,0.0
21.0,88.75,2019,4,0.0
21.0,89.375,2019,4,0.0
21.0,90.0,2019,4,0.0
21.0,90.625,2019,4,0.0
21.0,91.25,2019,4,0.0
21.0,91.875,2019,4,0.0
21.0,92.5,2019,4,0.0
21.5,88.125,2019,4,0.0
21.5,88.75,2019,4,0.0
21.5,89.375,2019,4,0.0
21.5,90.0,2019,4,0.0
21.5,90.625,2019,4,0.0
21.5,91.25,2019,4,0.0
21.5,91.875,2019,4,0.0
21.5,92.5,2019,4,0.0
22.0,88.125,2019,4,0.0
22.0,88.75,2019,4,0.0
22.0,89.375,2019,4,0.0
22.0,90.0,2019,4,0.0
22.0,90.625,2019,4,0.0
22.0,91.25,2019,4,0.0
22.0,91.875,2019,4,0.0
22.0,92.5,2019,4,0.0
22.5,88.125,2019,4,0.0
22.5,88.75,2019,4,0.0
22.5,89.375,2019,4,0.0
22.5,90.0,2019,4,0.0
22.5,90.625,2019,4,0.0
22.5,91.25,2019,4,0.0
22.5,91.875,2019,4,0.0
22.5,92.5,2019,4,0.0
23.0,88.125,2019,4,0.0
23.0,88.75,2019,4,0.0
23.0,89.375,2019,4,0.0
23.0,90.0,2019,4,0.0
23.0,90.625,2019,4,0.0
23.0,91.25,2019,4,0.0
23.0,91.875,2019,4,0.0
23.0,92.5,2019,4,0.0
23.5,88.125,2019,4,0.0
23.5,88.75,2019,4,0.0
23.5,89.375,2019,4,0.0
23.5,90.0,2019,4,0.0
23.5,90.625,2019,4,0.0
23.5,91.25,2019,4,0.0
23.5,91.875,2019,4,0.0
23.5,92.5,2019,4,0.0
24.0,88.125,2019,4,0.0
24.0,88.75,2019,4,0.0
24.0,89.375,2019,4,0.0
24.0,90.0,2019,4,0.0
24.0,90.625,2019,4,0.0
