YEAR,MO,PRECTOTCORR,T2M_RANGE
2019,1,0.005994623655913979,11.839815188172043
2019,2,3.0688950892857143,11.588727678571429
2019,3,2.1316028225806454,11.525608198924731
2019,4,4.454548611111112,10.014315972222223
2019,5,12.168245967741937,8.01710685483871
2019,6,14.980746527777777,5.3770625
2019,7,34.99073924731183,4.364106182795699
2019,8,18.44819892473118,4.87448252688172
2019,9,19.0425,4.561576388888889
2019,10,11.059754704301076,5.715147849462365
2019,11,5.1062013888888895,7.409753472222222
2019,12,0.37406922043010754,8.972315188172043
