NAME_1,DISTRICT_GADM,wt_prev_diarrhea,wt_prev_diarrhea_pct,n_children,n_eff,ci95_low_pct,ci95_high_pct,pop_total_wp19,pop_density19_km2,ann_precip_mm_per_day_2019,GID_2,GID_0,COUNTRY,GID_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,HH7,HH7A,se,ci95_low,ci95_high,wt_prev_diarrhea_feat,wt_prev_diarrhea_pct_feat,n_children_feat,n_eff_feat,ci95_low_feat,ci95_high_feat,ci95_low_pct_feat,ci95_high_pct_feat,area_km2,pop_mean_ppp19
Barisal,Barguna,0.0904875474864028,9.05,323.0,318.5486886254759,5.9,12.2,897879.9375,682.7669484926502,10.54242665525114,BGD.1.1_1,BGD,Bangladesh,BGD.1_1,NA,Barguna,NA,NA,Zila,Distict,1004,BD.BA.PR,Barishal,Barguna,0.0160735136276928,0.0589834607761247,0.1219916341966808,0.0904875474864028,9.05,323.0,318.5486886254759,0.0589834607761247,0.1219916341966808,5.9,12.2,1315.0606359640817,5.427420829454647
Barisal,Barisal,0.1120101288109699,11.2,2250.0,2212.10628973995,9.89,12.52,,,,BGD.1.2_1,BGD,Bangladesh,BGD.1_1,NA,Barisal,NA,NA,Zila,Distict,1006,BD.BA.PR,Barishal,Barishal,0.0067054767198241,0.0988673944401146,0.1251528631818253,,,,,,,,,,
Barisal,Bhola,0.28539447768119,28.54,440.0,435.4826938994164,24.3,32.78,1855779.75,1010.8151632182364,10.54242665525114,BGD.1.3_1,BGD,Bangladesh,BGD.1_1,NA,Bhola,NA,NA,Zila,Distict,1009,BD.BA.PR,Barishal,Bhola,0.0216406607210976,0.2429787826678387,0.3278101726945413,0.28539447768119,28.54,440.0,435.4826938994164,0.2429787826678387,0.3278101726945413,24.3,32.78,1835.9239330082487,8.026867895638333
Barisal,Jhalokati,0.0647330241198753,6.47,339.0,336.222362837151,3.84,9.1,674956.4375,940.7767854895168,10.54242665525114,BGD.1.4_1,BGD,Bangladesh,BGD.1_1,NA,Jhalokati,NA,NA,Zila,Distict,1042,BD.BA.PR,Barishal,Jhalokati,0.0134189164885404,0.0384319478023359,0.0910341004374146,0.0647330241198753,6.47,339.0,336.222362837151,0.0384319478023359,0.0910341004374146,3.84,9.1,717.4458893017841,7.529130552394975
Barisal,Patuakhali,0.1046631025386091,10.47,356.0,351.432200863407,7.27,13.67,1613138.375,647.5094204445918,10.54242665525114,BGD.1.5_1,BGD,Bangladesh,BGD.1_1,NA,Patuakhali,NA,NA,Zila,Distict,1078,BD.BA.PR,Barishal,Patuakhali,0.0163293638954423,0.0726575493035421,0.1366686557736761,0.1046631025386091,10.47,356.0,351.432200863407,0.0726575493035421,0.1366686557736761,7.27,13.67,2491.2971519277507,5.181791644314813
Barisal,Pirojpur,0.0256719906510678,2.57,320.0,317.0057156336846,0.83,4.31,1103032.5,901.560705534922,10.54242665525114,BGD.1.6_1,BGD,Bangladesh,BGD.1_1,NA,Pirojpur,NA,NA,Zila,Distict,1079,BD.BA.PR,Barishal,Pirojpur,0.0088827782482406,0.0082617452845161,0.0430822360176195,0.0256719906510678,2.57,320.0,317.0057156336846,0.0082617452845161,0.0430822360176195,0.83,4.31,1223.470026175929,7.384317991631799
Chittagong,Bandarban,0.1022330022215186,10.22,347.0,139.4490535037698,5.19,15.25,515629.03125,112.6154467102982,10.54242665525114,BGD.2.1_1,BGD,Bangladesh,BGD.2_1,NA,Bandarban,NA,NA,Zila,Distict,2003,BD.CG.PC,Chattogram,Bandarban,0.0256548565229804,0.0519494834364769,0.1525165210065603,0.1022330022215186,10.22,347.0,139.4490535037698,0.0519494834364769,0.1525165210065603,5.19,15.25,4578.670567071044,0.8975375352702296
Chittagong,Brahamanbaria,0.041721848726037,4.17,461.0,459.7857781088826,2.34,6.0,,,,BGD.2.2_1,BGD,Bangladesh,BGD.2_1,NA,Brahamanbaria,NA,NA,Zila,Distict,2012,BD.CG.PC,Chattogram,Brahmanbaria,0.0093250205671203,0.0234448084144811,0.059998889037593,,,,,,,,,,
Chittagong,Chandpur,0.0838325657366989,8.38,323.0,318.0039024398474,5.34,11.43,2507410.0,1616.7055791581383,10.54242665525114,BGD.2.3_1,BGD,Bangladesh,BGD.2_1,NA,Chandpur,NA,NA,Zila,Distict,2013,BD.CG.PC,Chattogram,Chandpur,0.0155409505849797,0.0533723025901387,0.1142928288832592,0.0838325657366989,8.38,323.0,318.0039024398474,0.0533723025901387,0.1142928288832592,5.34,11.43,1550.937927303792,14.242844240458512
Chittagong,Chittagong,0.113660028889108,11.37,838.0,810.8751758019498,9.18,13.55,,,,BGD.2.4_1,BGD,Bangladesh,BGD.2_1,NA,Chittagong,NA,NA,Zila,Distict,2015,BD.CG.PC,Chattogram,Chattogram,0.0111462055061841,0.0918134660969871,0.135506591681229,,,,,,,,,,
