GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DISTRICT_NAME_RAW_gadm,DISTRICT_KEY,HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct,DISTRICT_NAME_RAW_mics
BGD.1.1_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Barguna,NA,NA,Zila,Distict,1004,BD.BA.PR,Barguna,BARGUNA,Barishal,Barguna,323.0,318.5486886254759,0.0904875474864028,0.0160735136276928,0.0589834607761247,0.1219916341966808,9.05,5.9,12.2,Barguna
BGD.1.2_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Barisal,NA,NA,Zila,Distict,1006,BD.BA.PR,Barisal,BARISHAL,Barishal,Barishal,2250.0,2212.10628973995,0.1120101288109699,0.0067054767198241,0.0988673944401146,0.1251528631818253,11.2,9.89,12.52,Barishal
BGD.1.3_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Bhola,NA,NA,Zila,Distict,1009,BD.BA.PR,Bhola,BHOLA,Barishal,Bhola,440.0,435.4826938994164,0.28539447768119,0.0216406607210976,0.2429787826678387,0.3278101726945413,28.54,24.3,32.78,Bhola
BGD.1.4_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Jhalokati,NA,NA,Zila,Distict,1042,BD.BA.PR,Jhalokati,JHALOKATI,Barishal,Jhalokati,339.0,336.222362837151,0.0647330241198753,0.0134189164885404,0.0384319478023359,0.0910341004374146,6.47,3.84,9.1,Jhalokati
BGD.1.5_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Patuakhali,NA,NA,Zila,Distict,1078,BD.BA.PR,Patuakhali,PATUAKHALI,Barishal,Patuakhali,356.0,351.432200863407,0.1046631025386091,0.0163293638954423,0.0726575493035421,0.1366686557736761,10.47,7.27,13.67,Patuakhali
BGD.1.6_1,BGD,Bangladesh,BGD.1_1,Barisal,NA,Pirojpur,NA,NA,Zila,Distict,1079,BD.BA.PR,Pirojpur,PIROJPUR,Barishal,Pirojpur,320.0,317.0057156336846,0.0256719906510678,0.0088827782482406,0.0082617452845161,0.0430822360176195,2.57,0.83,4.31,Pirojpur
BGD.2.1_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Bandarban,NA,NA,Zila,Distict,2003,BD.CG.PC,Bandarban,BANDARBAN,Chattogram,Bandarban,347.0,139.4490535037698,0.1022330022215186,0.0256548565229804,0.0519494834364769,0.1525165210065603,10.22,5.19,15.25,Bandarban
BGD.2.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Brahamanbaria,NA,NA,Zila,Distict,2012,BD.CG.PC,Brahamanbaria,BRAHMANBARIA,Chattogram,Brahmanbaria,461.0,459.7857781088826,0.041721848726037,0.0093250205671203,0.0234448084144811,0.059998889037593,4.17,2.34,6.0,Brahmanbaria
BGD.2.3_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Chandpur,NA,NA,Zila,Distict,2013,BD.CG.PC,Chandpur,CHANDPUR,Chattogram,Chandpur,323.0,318.0039024398474,0.0838325657366989,0.0155409505849797,0.0533723025901387,0.1142928288832592,8.38,5.34,11.43,Chandpur
BGD.2.4_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Chittagong,NA,NA,Zila,Distict,2015,BD.CG.PC,Chittagong,CHATTOGRAM,Chattogram,Chattogram,838.0,810.8751758019498,0.113660028889108,0.0111462055061841,0.0918134660969871,0.135506591681229,11.37,9.18,13.55,Chattogram
BGD.2.5_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Comilla,NA,NA,Zila,Distict,2019,BD.CG.PC,Comilla,CUMILLA,Chattogram,Cumilla,543.0,534.5335406166885,0.0315452715346228,0.0075599568444436,0.0167277561195131,0.0463627869497324,3.15,1.67,4.64,Cumilla
BGD.2.6_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Cox'S Bazar,NA,NA,Zila,Distict,2022,BD.CG.PC,Cox'S Bazar,COX'S BAZAR,Chattogram,Cox's Bazar,449.0,446.9895007170263,0.1149318088309809,0.0150855040644858,0.0853642208645886,0.1444993967973731,11.49,8.54,14.45,Cox's Bazar
BGD.2.7_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Feni,NA,NA,Zila,Distict,2030,BD.CG.PC,Feni,FENI,Chattogram,Feni,420.0,417.1710086834306,0.0287153085532205,0.0081766038264232,0.0126891650534311,0.04474145205301,2.87,1.27,4.47,Feni
