HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct
Barishal,Barguna,323.0,318.5486886254759,0.09048754748640282,0.01607351362769288,0.05898346077612478,0.12199163419668087,9.05,5.9,12.2
Barishal,Barishal,2250.0,2212.10628973995,0.11201012881096997,0.006705476719824146,0.09886739444011465,0.1251528631818253,11.2,9.89,12.52
Barishal,Bhola,440.0,435.48269389941635,0.28539447768119003,0.021640660721097608,0.24297878266783873,0.3278101726945413,28.54,24.3,32.78
Barishal,Jhalokati,339.0,336.222362837151,0.0647330241198753,0.013418916488540489,0.03843194780233594,0.09103410043741467,6.47,3.84,9.1
Barishal,Patuakhali,356.0,351.432200863407,0.10466310253860914,0.016329363895442362,0.07265754930354211,0.13666865577367615,10.47,7.27,13.67
Barishal,Pirojpur,320.0,317.0057156336846,0.02567199065106785,0.00888277824824067,0.008261745284516137,0.04308223601761957,2.57,0.83,4.31
Chattogram,Bandarban,347.0,139.4490535037698,0.10223300222151868,0.025654856522980458,0.051949483436476984,0.15251652100656038,10.22,5.19,15.25
Chattogram,Brahmanbaria,461.0,459.7857781088826,0.041721848726037083,0.009325020567120364,0.02344480841448117,0.059998889037593,4.17,2.34,6.0
Chattogram,Chandpur,323.0,318.0039024398474,0.08383256573669899,0.015540950584979714,0.053372302590138754,0.11429282888325923,8.38,5.34,11.43
Chattogram,Chattogram,838.0,810.8751758019498,0.11366002888910809,0.011146205506184151,0.09181346609698715,0.13550659168122903,11.37,9.18,13.55
Chattogram,Cox's Bazar,449.0,446.9895007170263,0.1149318088309809,0.015085504064485838,0.08536422086458867,0.14449939679737314,11.49,8.54,14.45
Chattogram,Cumilla,543.0,534.5335406166885,0.03154527153462283,0.0075599568444436925,0.016727756119513194,0.04636278694973247,3.15,1.67,4.64
Chattogram,Feni,420.0,417.1710086834306,0.02871530855322059,0.0081766038264232,0.012689165053431116,0.04474145205301006,2.87,1.27,4.47
Chattogram,Khagrachhari,313.0,266.7167531844998,0.1251540432530997,0.02026110321330273,0.08544228095502635,0.16486580555117306,12.52,8.54,16.49
Chattogram,Lakshmipur,387.0,385.24181983979827,0.11304303145089185,0.016132677788656468,0.08142298298512518,0.14466307991665853,11.3,8.14,14.47
Chattogram,Noakhali,455.0,451.9939387329506,0.054857460871149184,0.010710264610116288,0.033865342235321255,0.07584957950697711,5.49,3.39,7.58
Chattogram,Rangamati,266.0,219.93996124284388,0.08767393427410913,0.019070330390924865,0.0502960867078964,0.12505178184032187,8.77,5.03,12.51
Dhaka,Dhaka,749.0,730.4065672730546,0.06142864057349186,0.008884577218259616,0.04401486922570301,0.0788424119212807,6.14,4.4,7.88
Dhaka,Faridpur,323.0,313.4803579278796,0.05784808576714115,0.013185596959477264,0.032004315726565716,0.08369185580771658,5.78,3.2,8.37
Dhaka,Gazipur,241.0,216.42397722631154,0.09844965254905245,0.02025113643202898,0.05875742514227565,0.13814187995582927,9.84,5.88,13.81
Dhaka,Gopalganj,321.0,298.4235029822798,0.017110709852064417,0.0075070585479963675,0.0023968750979915365,0.031824544606137296,1.71,0.24,3.18
Dhaka,Kishoregonj,374.0,355.8812596939811,0.015743688799719345,0.006598645432057571,0.0028103437528865047,0.028677033846552187,1.57,0.28,2.87
Dhaka,Madaripur,300.0,271.1184033275926,0.01061736105139841,0.0062245926653426206,0.0,0.022817562675469947,1.06,0.0,2.28
Dhaka,Manikganj,251.0,184.05979452862866,0.04157036614353506,0.014712706622825634,0.012733461162796823,0.07040727112427331,4.16,1.27,7.04
Dhaka,Munshiganj,342.0,324.9598498571393,0.04373049066522913,0.011344032881602396,0.021496186217288438,0.06596479511316983,4.37,2.15,6.6
