NAME_1,DISTRICT,obs_prev_pct,pred_prev_pct,resid_pct,direction
Barisal,Bhola,28.54,28.52,0.02,under_predicted (model < observed)
Barisal,Barguna,9.05,9.05,0.0,under_predicted (model < observed)
Barisal,Barisal,11.2,11.2,0.0,under_predicted (model < observed)
Barisal,Jhalokati,6.47,6.47,0.0,under_predicted (model < observed)
Barisal,Patuakhali,10.47,10.47,0.0,under_predicted (model < observed)
Barisal,Pirojpur,2.57,2.57,0.0,under_predicted (model < observed)
Chittagong,Bandarban,10.22,10.22,0.0,under_predicted (model < observed)
Chittagong,Brahamanbaria,4.17,4.17,0.0,under_predicted (model < observed)
Chittagong,Chandpur,8.38,8.38,0.0,under_predicted (model < observed)
Chittagong,Chittagong,11.37,11.37,0.0,under_predicted (model < observed)
